Time,Open,High,Low,Last,Change,%Chg,Volume
09/16/2021,4477.09,4485.87,4443.8,4473.75,-6.95,-0.16%,0
09/15/2021,4447.49,4486.87,4438.37,4480.7,37.65,+0.85%,0
09/14/2021,4479.33,4485.68,4435.46,4443.05,-25.68,-0.57%,0
09/13/2021,4474.81,4492.99,4445.7,4468.73,10.15,+0.23%,0
09/10/2021,4506.92,4520.47,4457.66,4458.58,-34.7,-0.77%,0
09/09/2021,4513.02,4529.9,4492.07,4493.28,-20.79,-0.46%,0
09/08/2021,4518.09,4521.79,4493.95,4514.07,-5.96,-0.13%,0
09/07/2021,4535.38,4535.38,4513,4520.03,-15.4,-0.34%,0
09/03/2021,4532.42,4541.45,4521.3,4535.43,-1.52,-0.03%,0
09/02/2021,4534.48,4545.85,4524.66,4536.95,12.86,+0.28%,0
09/01/2021,4528.8,4537.11,4522.02,4524.09,1.41,+0.03%,0
08/31/2021,4529.75,4531.39,4515.8,4522.68,-6.11,-0.13%,0
08/30/2021,4513.76,4537.36,4513.76,4528.79,19.42,+0.43%,0
08/27/2021,4474.1,4513.33,4474.1,4509.37,39.37,+0.88%,0
08/26/2021,4493.75,4495.9,4468.99,4470,-26.19,-0.58%,0
08/25/2021,4490.45,4501.71,4485.66,4496.19,9.96,+0.22%,0
08/24/2021,4484.4,4492.81,4482.28,4486.23,6.7,+0.15%,0
08/23/2021,4450.29,4489.88,4450.29,4479.53,37.86,+0.85%,0
08/20/2021,4410.56,4444.35,4406.8,4441.67,35.87,+0.81%,0
08/19/2021,4382.44,4418.61,4368.8,4405.8,5.53,+0.13%,0
08/18/2021,4440.94,4454.32,4397.59,4400.27,-47.81,-1.07%,0
08/17/2021,4462.12,4462.12,4417.83,4448.08,-31.63,-0.71%,0
08/16/2021,4461.65,4480.26,4437.66,4479.71,11.71,+0.26%,0
08/13/2021,4464.84,4468.37,4460.82,4468,7.17,+0.16%,0
08/12/2021,4446.08,4461.77,4435.96,4460.83,13.13,+0.30%,0
08/11/2021,4442.18,4449.44,4436.42,4447.7,10.95,+0.25%,0
08/10/2021,4435.79,4445.21,4430.03,4436.75,4.4,+0.10%,0
08/09/2021,4437.77,4439.39,4424.74,4432.35,-4.17,-0.09%,0
08/06/2021,4429.07,4440.82,4429.07,4436.52,7.42,+0.17%,0
08/05/2021,4408.86,4429.76,4408.86,4429.1,26.44,+0.60%,0
08/04/2021,4415.95,4416.17,4400.23,4402.66,-20.49,-0.46%,0
08/03/2021,4392.74,4423.79,4373,4423.15,35.99,+0.82%,0
08/02/2021,4406.86,4422.18,4384.81,4387.16,-8.1,-0.18%,0
07/30/2021,4395.12,4412.25,4389.65,4395.26,-23.89,-0.54%,0
07/29/2021,4403.59,4429.97,4403.59,4419.15,18.51,+0.42%,0
07/28/2021,4402.95,4415.47,4387.01,4400.64,-0.82,-0.02%,0
07/27/2021,4416.38,4416.38,4372.51,4401.46,-20.84,-0.47%,0
07/26/2021,4409.58,4422.73,4405.45,4422.3,10.51,+0.24%,0
07/23/2021,4381.2,4415.18,4381.2,4411.79,44.31,+1.01%,0
07/22/2021,4361.27,4369.87,4350.06,4367.48,8.79,+0.20%,0
07/21/2021,4331.13,4359.7,4331.13,4358.69,35.63,+0.82%,0
07/20/2021,4265.11,4336.84,4262.49,4323.06,64.57,+1.52%,0
07/19/2021,4296.4,4296.4,4233.13,4258.49,-68.67,-1.59%,0
07/16/2021,4367.43,4375.09,4322.53,4327.16,-32.87,-0.75%,0
07/15/2021,4369.02,4369.02,4340.7,4360.03,-14.27,-0.33%,0
07/14/2021,4380.11,4393.68,4362.36,4374.3,5.09,+0.12%,0
07/13/2021,4381.07,4392.37,4366.92,4369.21,-15.42,-0.35%,0
07/12/2021,4372.41,4386.68,4364.03,4384.63,15.08,+0.35%,0
07/09/2021,4329.38,4371.6,4329.38,4369.55,48.73,+1.13%,0
07/08/2021,4321.07,4330.88,4289.37,4320.82,-37.31,-0.86%,0
07/07/2021,4351.01,4361.88,4329.79,4358.13,14.59,+0.34%,0
07/06/2021,4356.46,4356.46,4314.37,4343.54,-8.8,-0.20%,0
07/02/2021,4326.6,4355.43,4326.6,4352.34,32.4,+0.75%,0
07/01/2021,4300.73,4320.66,4300.73,4319.94,22.44,+0.52%,0
06/30/2021,4290.65,4302.43,4287.96,4297.5,5.7,+0.13%,0
06/29/2021,4293.21,4300.52,4287.04,4291.8,1.19,+0.03%,0
06/28/2021,4284.9,4292.14,4274.67,4290.61,9.91,+0.23%,0
06/25/2021,4266.49,4286.12,4266.49,4280.7,14.21,+0.33%,0
06/24/2021,4256.97,4271.28,4256.97,4266.49,24.65,+0.58%,0
06/23/2021,4249.27,4256.6,4241.43,4241.84,-4.6,-0.11%,0
06/22/2021,4224.61,4255.84,4217.27,4246.44,21.65,+0.51%,0
06/21/2021,4173.4,4226.24,4173.4,4224.79,58.34,+1.40%,0
06/18/2021,4204.78,4204.78,4165.3,4166.45,-55.41,-1.31%,0
06/17/2021,4220.37,4232.29,4196.29,4221.86,-1.84,-0.04%,0
06/16/2021,4248.87,4251.4,4203.02,4223.7,-22.89,-0.54%,0
06/15/2021,4255.28,4257.16,4238.35,4246.59,-8.56,-0.20%,0
06/14/2021,4248.31,4255.35,4234.07,4255.15,7.71,+0.18%,0
06/11/2021,4242.9,4248.38,4232.25,4247.44,8.26,+0.19%,0
06/10/2021,4228.56,4249.74,4220.34,4239.18,19.63,+0.47%,0
06/09/2021,4232.99,4236.21,4218.74,4219.55,-7.71,-0.18%,0
06/08/2021,4233.81,4236.74,4208.41,4227.26,0.74,+0.02%,0
06/07/2021,4229.34,4232.34,4215.66,4226.52,-3.37,-0.08%,0
06/04/2021,4206.05,4233.45,4206.05,4229.89,37.04,+0.88%,0
06/03/2021,4191.43,4204.39,4168.5,4192.85,-15.27,-0.36%,0
06/02/2021,4206.82,4217.37,4198.27,4208.12,6.08,+0.14%,0
06/01/2021,4216.52,4234.12,4197.59,4202.04,-2.07,-0.05%,0
05/28/2021,4200.88,4218.36,4200.88,4204.11,3.23,+0.08%,0
05/27/2021,4201.94,4213.38,4197.78,4200.88,4.89,+0.12%,0
05/26/2021,4191.59,4202.61,4184.11,4195.99,7.86,+0.19%,0
05/25/2021,4205.94,4213.31,4182.52,4188.13,-8.92,-0.21%,0
05/24/2021,4170.16,4209.52,4170.16,4197.05,41.19,+0.99%,0
05/21/2021,4168.61,4188.72,4151.72,4155.86,-3.26,-0.08%,0
05/20/2021,4121.97,4172.8,4121.97,4159.12,43.44,+1.06%,0
05/19/2021,4098.45,4116.93,4061.41,4115.68,-12.15,-0.29%,0
05/18/2021,4165.94,4169,4125.99,4127.83,-35.46,-0.85%,0
05/17/2021,4169.92,4171.92,4142.69,4163.29,-10.56,-0.25%,0
05/14/2021,4129.58,4183.13,4129.58,4173.85,61.35,+1.49%,0
05/13/2021,4074.99,4131.58,4074.99,4112.5,49.46,+1.22%,0
05/12/2021,4130.55,4134.73,4056.88,4063.04,-89.06,-2.14%,0
05/11/2021,4150.34,4162.04,4111.53,4152.1,-36.33,-0.87%,0
05/10/2021,4228.29,4236.39,4188.13,4188.43,-44.17,-1.04%,0
05/07/2021,4210.34,4238.04,4201.64,4232.6,30.98,+0.74%,0
05/06/2021,4169.14,4201.64,4147.33,4201.62,34.03,+0.82%,0
05/05/2021,4177.06,4187.72,4160.94,4167.59,2.93,+0.07%,0
05/04/2021,4179.04,4179.04,4128.59,4164.66,-28,-0.67%,0
05/03/2021,4191.98,4209.39,4188.03,4192.66,11.49,+0.27%,0
04/30/2021,4198.1,4198.1,4174.85,4181.17,-30.3,-0.72%,0
04/29/2021,4206.14,4218.64,4176.81,4211.47,28.29,+0.68%,0
04/28/2021,4185.14,4201.53,4181.78,4183.18,-3.54,-0.08%,0
04/27/2021,4188.25,4193.35,4176.22,4186.72,-0.9,-0.02%,0
04/26/2021,4185.03,4194.19,4182.36,4187.62,7.45,+0.18%,0
04/23/2021,4138.78,4194.17,4138.78,4180.17,45.19,+1.09%,0
04/22/2021,4170.46,4179.57,4123.69,4134.98,-38.44,-0.92%,0
04/21/2021,4128.42,4175.02,4126.35,4173.42,38.48,+0.93%,0
04/20/2021,4159.18,4159.18,4118.38,4134.94,-28.32,-0.68%,0
04/19/2021,4179.8,4180.81,4150.47,4163.26,-22.21,-0.53%,0
04/16/2021,4174.14,4191.31,4170.75,4185.47,15.05,+0.36%,0
04/15/2021,4139.76,4173.49,4139.76,4170.42,45.76,+1.11%,0
04/14/2021,4141.58,4151.69,4120.87,4124.66,-16.93,-0.41%,0
04/13/2021,4130.1,4148,4124.43,4141.59,13.6,+0.33%,0
04/12/2021,4124.71,4131.76,4114.82,4127.99,-0.81,-0.02%,0
04/09/2021,4096.11,4129.48,4095.51,4128.8,31.63,+0.77%,0
04/08/2021,4089.95,4098.19,4082.54,4097.17,17.22,+0.42%,0
04/07/2021,4074.29,4083.13,4068.31,4079.95,6.01,+0.15%,0
04/06/2021,4075.57,4086.23,4068.14,4073.94,-3.97,-0.10%,0
04/05/2021,4034.44,4083.42,4034.44,4077.91,58.04,+1.44%,0
04/01/2021,3992.78,4020.62,3992.78,4019.87,46.98,+1.18%,0
03/31/2021,3967.25,3994.41,3966.98,3972.89,14.34,+0.36%,0
03/30/2021,3963.34,3968.01,3944.35,3958.55,-12.54,-0.32%,0
03/29/2021,3969.31,3981.83,3943.25,3971.09,-3.45,-0.09%,0
03/26/2021,3917.12,3976.88,3917.12,3974.54,65.02,+1.66%,0
03/25/2021,3879.34,3919.54,3854.44,3909.52,20.38,+0.52%,0
03/24/2021,3919.93,3942.08,3889.07,3889.14,-21.38,-0.55%,0
03/23/2021,3937.6,3949.13,3901.57,3910.52,-30.07,-0.76%,0
03/22/2021,3916.48,3955.31,3914.16,3940.59,27.49,+0.70%,0
03/19/2021,3913.14,3930.12,3886.75,3913.1,-2.36,-0.06%,0
03/18/2021,3953.5,3969.62,3910.86,3915.46,-58.66,-1.48%,0
03/17/2021,3949.57,3983.87,3935.74,3974.12,11.41,+0.29%,0
03/16/2021,3973.59,3981.04,3953.44,3962.71,-6.23,-0.16%,0
03/15/2021,3942.96,3969.88,3923.54,3968.94,25.6,+0.65%,0
